delay,units,,,,,train mse,val mse
9,1,8,,,,0.00741936830174723,0.00738035365292675
1,1,10,8,,,0.00458273664959815,0.00464056631745093
3,2,,,,,0.00746593804569994,0.0076043964345929
18,4,9,10,8,2,0.00750615224721087,0.00721126084115852
2,4,,,,,0.00702518992071806,0.00782845399479085
18,1,10,2,9,,0.00739866485086327,0.00719582852058602
5,10,,,,,0.00740310345022107,0.00730516161454393
11,8,1,8,6,7,0.00723554573993534,0.00719333952238968
13,10,3,,,,0.00741825233766674,0.00752056211071587
16,3,7,6,,,0.00746837999970712,0.00734807476760527
17,2,8,,,,0.00753726213674425,0.00700442150891275
15,7,,,,,0.00733606393900034,0.00751145355570004
20,4,,,,,0.0073743548442811,0.00699071400513682
12,3,4,1,10,,0.00753297326893684,0.00712033301520684
18,10,,,,,0.00742337616540763,0.00712013375100154
12,6,,,,,0.00732469662134104,0.00735657443244338
15,4,10,4,,,0.00744360828109,0.00756558138509258
18,4,7,,,,0.00757792743600558,0.00721506204322277
17,10,3,2,,,0.00740715895271755,0.00726719619574233
13,3,6,,,,0.00746761635730012,0.00735458276834787
17,10,6,1,7,6,0.0073107294379792,0.00779392796369273
7,1,6,7,6,8,0.00743620122560654,0.00764376222340665
16,4,10,9,6,1,0.00734201856427521,0.00738862047566828
12,3,3,6,5,4,0.00741270385663384,0.00728120658491388
3,3,9,2,,,0.00736996257626682,0.00735060857068667
18,10,6,6,,,0.0074691636791997,0.0074978819150199
19,4,7,,,,0.00743110583349641,0.00723522210341046
9,8,10,3,4,,0.00732386589996224,0.0077084312421899
8,7,2,6,,,0.00742567077894089,0.00745120937654895
13,7,5,5,4,8,0.00737900662552674,0.00739353853372103
2,4,6,5,,,0.0072707254580644,0.00667767004077912
3,3,5,,,,0.00744504978203517,0.00758263339621977
10,8,10,,,,0.00448895426216293,0.00445925387614639
13,7,2,4,10,4,0.0075115720311531,0.00679771380608545
10,9,4,5,9,,0.00458208826159376,0.00448725485825851
18,2,3,,,,0.00728783946733179,0.0077852143224044
14,10,10,8,2,7,0.0074531588543029,0.00727752744225002
8,1,7,,,,0.00724339490024806,0.00790682278611266
11,10,6,3,6,5,0.00698942704763713,0.00734441774210167
20,1,9,2,2,,0.00753369661783864,0.0076552188816719
16,8,8,3,3,,0.00721915623934702,0.00824938438353044
18,6,1,,,,0.00745761750297119,0.00737852888604855
11,7,6,8,,,0.00714154470974098,0.00747650067672558
1,2,3,2,9,2,0.00454971556978711,0.00484176346407818
9,7,9,10,8,,0.00739611523033146,0.00766497385290364
14,7,9,10,,,0.00744258649053178,0.00728784428572413
6,1,,,,,0.00740959486060822,0.00757379604192082
14,7,1,1,10,,0.00737994095420958,0.00771473150177597
7,9,,,,,0.00745987076571303,0.00734842447775773
5,6,9,3,5,2,0.00742250568750304,0.00749905402828797
18,9,4,1,,,0.00741843589144223,0.00757782619206612
18,2,6,,,,0.00744509653378383,0.00743002137578815
14,1,,,,,0.00738454671034091,0.00747039109692741
16,2,,,,,0.00740746470266207,0.00741765231398083
4,1,7,7,,,0.00744365042926037,0.00751735040158015
15,8,10,8,,,0.00736163547315054,0.00784360774695284
17,10,4,7,8,3,0.00740798559972388,0.00721156773078748
11,4,10,4,,,0.0072132025209769,0.00695489500698074
15,10,3,,,,0.00744720593986678,0.00738035040246442
8,9,8,7,1,,0.00744545421149312,0.0075753339464363
2,3,1,,,,0.00715473683733953,0.0072378208340934
1,1,5,9,,,0.00466003689344776,0.00458134775934237
17,8,,,,,0.00756786844420748,0.00749524649724735
12,9,9,1,8,,0.00738531829687715,0.00743000007737202
19,3,9,8,4,7,0.00742389195224828,0.00747463244128566
7,1,,,,,0.00734922589765235,0.00730323856569836
5,7,10,2,9,,0.00735888151053017,0.00775894510836997
16,7,2,,,,0.00728606076465234,0.00782457947132821
20,8,1,7,5,,0.00747294347396155,0.00699735762527521
4,10,,,,,0.00736658875633203,0.00762124393120527
9,5,3,10,8,7,0.00735465209137919,0.00768576488135759
18,10,9,4,9,,0.00752748932249947,0.00715139077845387
3,1,7,6,4,,0.0073643825596355,0.00745944062822716
6,1,2,2,7,9,0.00734027752282312,0.00757211686449799
16,1,9,4,,,0.00730664528559678,0.00773252158167366
19,6,3,3,5,8,0.00734510873724529,0.00743851552754761
1,9,,,,,0.00468954347416049,0.00461298900162015
8,9,2,4,6,,0.00742387278528743,0.00735219582217725
9,3,7,8,7,10,0.00750996588103651,0.00720208360824556
19,9,4,,,,0.00739958255918202,0.00751366492008926
7,6,6,2,,,0.00737481576155529,0.00820084932379202
15,1,9,5,9,1,0.00738705821973903,0.00770743034875637
12,8,5,,,,0.0073197748917603,0.00747516682976263
16,4,4,4,9,9,0.00738624935045561,0.00744078554979264
3,5,5,9,1,,0.00747509368915291,0.00758400331788754
13,10,,,,,0.00736582195849787,0.00790083052776226
13,5,,,,,0.00729231356634733,0.00749801743778344
15,4,8,10,8,9,0.0073765154361521,0.0073967491765072
19,3,10,6,,,0.00739008648585831,0.00721037899317022
3,1,9,9,,,0.00742058261223543,0.0073229196943235
15,6,5,8,8,3,0.00740607823201078,0.00706495969438406
12,1,10,,,,0.00750430788242953,0.00751100555375105
18,3,5,,,,0.00739899988267148,0.00744457642038456
9,3,7,4,10,,0.00746641189028108,0.00734917904320798
10,6,8,3,,,0.00460506768695315,0.00443039936968914
20,7,,,,,0.00736229789018918,0.00777320246733448
15,3,10,8,5,,0.0073298144564489,0.00797030199930441
2,5,9,8,1,3,0.00726152786352291,0.00722329180466743
8,9,2,6,,,0.00743402034811802,0.00746740247882366
3,9,9,,,,0.00741186180152483,0.00757354036242696
12,5,8,2,9,,0.00744169757520793,0.00735083757062225
15,4,3,5,7,,0.00747618550811551,0.00701130974296199
20,3,2,8,,,0.0073999633828434,0.00776601328047687
