sparsity,reservoir,ro,input_scale,ridge penalty,train mse,val mse
1,400,0.4,1,2.4,0.00751890566850333,0.00790052358702638
0.2,426,0.8,0.9,4.7,0.00546383535892469,0.00580684210491379
0.3,129,0.8,0.8,7.4,0.00552473750792258,0.00586800979186998
0.2,367,0.9,1,1.8,0.00560925004029419,0.00589290559442713
0.9,768,0.5,0.8,2.2,0.00642303898122926,0.0068043037035513
0.8,92,0.6,0.6,6,0.00734393069981419,0.00776677858630412
1,746,0.4,0.9,6.1,0.0112279904442947,0.0116758397980941
0.7,431,0.8,0.4,5,0.00578913566511287,0.00614748638594896
0.1,584,0.9,0.3,0.3,0.00567683599986946,0.00597831390643723
0.5,588,0.9,0.9,9.6,0.00565763938814217,0.00595448620083856
0.6,290,0.7,0.5,4.7,0.00610791744067698,0.00651048351533094
0.3,74,0.9,0.5,2.7,0.00565668092294638,0.00594538691891277
0.4,683,0.2,0.2,8.6,0.0303573988551622,0.0302157787434618
0.8,814,0.3,0.8,2.5,0.0114715554849329,0.0119107967576593
0.6,200,0.7,0.3,8.4,0.00801478941070966,0.00841440481825842
0.3,246,0.1,1,4.4,0.0223163447661433,0.0228685045188099
0.1,193,1,0.6,5.6,0.00671425350403468,0.00691025750637399
1,989,0.4,0.2,2.5,0.0199244736643308,0.0202706367971992
0.8,682,0.3,0.1,7.8,0.0514818394802831,0.0504658341765999
0.3,193,0.3,0.9,1.7,0.009055061217616,0.00946621079148235
0.5,448,0.9,0.7,6.2,0.00566086005894023,0.00595891824711498
0.2,99,0.2,0.3,8.2,0.0226844529616054,0.0229462397505042
1,753,1,0.4,0.2,0.00641274157150924,0.00660402306494875
0.2,94,0.5,0.2,0.6,0.00908952691700759,0.00957052587742782
0.9,744,0.4,0.1,9.6,0.0522948303816237,0.0512229797434275
0.2,284,0.7,0.3,3.8,0.0069334353730974,0.00736825457980199
0.6,26,1,0.9,0.2,0.00447050248846671,0.00460430492928263
0.3,229,0.4,0.6,6,0.0117184878392743,0.0122027372173205
0.7,28,0.3,0.8,2.5,0.0109560897577569,0.0113892247267684
0.1,26,0.4,0.3,7.7,0.0144433806525204,0.0148412170547275
0.9,208,0.2,0.9,2.5,0.0159747568552186,0.0164554397319799
0.5,301,0.4,0.2,8.5,0.0223351488156699,0.0223805827407616
0.2,861,1,0.3,8.1,0.00708479872460001,0.00729907181368217
0.9,860,0.4,0.4,2.7,0.0137046035622628,0.014170820550922
0.3,942,0.2,0.1,1.5,0.0261372463178282,0.0261995184735087
1,648,1,0.8,5.5,0.00681821854007809,0.00702124815772191
0.9,264,0.4,0.2,3.5,0.0203246229415053,0.0206045879601366
1,74,0.1,0.1,5.6,0.0509054507049561,0.0499697824989131
0.1,399,0.8,1,1.4,0.00537084398202727,0.00570216335270541
0.1,5,0.3,0.4,1.3,0.0144978023616215,0.0150135380818259
1,624,0.6,0.9,3.5,0.00583358861789238,0.0062149320648141
0.7,480,0.3,0.8,9.8,0.0165137466135646,0.0169978010568245
0.3,209,0.6,0.5,0.2,0.005438912744016,0.00579300042442752
0.8,346,0.2,0.3,9.3,0.0267834953659965,0.0269337820477527
0.3,282,0.1,0.2,3.4,0.0266283622539767,0.0268427554867636
0.3,20,0.2,0.1,9.6,0.0546826527761715,0.0535497934396576
1,253,1,0.9,3.2,0.0062719054647257,0.00645526233362218
0.6,583,0.7,0.7,3.5,0.00555291589108998,0.00592969711088813
0.9,779,0.8,0.3,5.9,0.00635650427000694,0.00671901220409339
1,338,0.9,0.1,8.7,0.00793871368196446,0.00815859472494087
0.5,943,0.7,0.3,9.2,0.00790018507081448,0.00830335522873266
0.9,149,1,0.2,0.6,0.00681923690941669,0.00702298549023575
1,587,0.4,0.2,7.9,0.026810218767075,0.0267630099015318
0.6,260,0.8,1,7.1,0.00537520291652942,0.00570864646307372
0.8,370,1,1,9.6,0.00668680184028305,0.00688039986732074
0.9,411,0.4,1,4.5,0.00895443395408853,0.0093699541908328
0.4,841,0.3,0.4,5.4,0.0173155228643409,0.0177744941952608
0.2,177,1,0.5,7.1,0.00675892536597371,0.00695855388970801
0.4,944,0.7,0.3,6.2,0.00729484873449879,0.00771698262617499
0.8,826,0.1,1,4.9,0.0236219312383167,0.024169315615743
0.2,87,0.4,0.1,7,0.0348089083931559,0.0342756739294318
0.3,515,0.6,0.2,3.1,0.00922573021713946,0.00966365718840156
0.9,216,0.5,0.2,2.5,0.01470454083714,0.0150933679354216
0.4,555,0.2,1,8.8,0.0184313396438379,0.0189470107873722
0.3,574,0.2,0.5,2,0.0180281161215997,0.0185487369600161
0.5,99,0.3,0.7,1,0.00867240164783975,0.00906435854553674
0.7,165,0.4,0.4,9.9,0.0172972947825687,0.0176744411789999
0.6,474,0.3,0.9,0.8,0.00742476398509634,0.00777633805843046
0.4,701,0.5,0.1,0.6,0.011696720965005,0.0121338494665441
0.1,552,0.5,0.5,1.6,0.008278368235726,0.00875079837276736
0.2,446,0.4,1,1.8,0.00707410063957016,0.00746292567995761
0.4,396,0.3,0.9,3.4,0.0109155718944967,0.0113613693845003
0.1,670,0.9,1,6.7,0.00571283771863741,0.00601147734026334
0.2,200,0.3,0.4,6,0.0167378443541313,0.0172020382659225
1,471,0.2,0.4,5.1,0.0238856913934662,0.0243166842761239
0.3,459,0.6,0.4,8.9,0.00876993215343407,0.00922322483620496
0.2,431,0.6,0.4,4.4,0.00800363380528619,0.00847267431354643
0.8,426,0.8,0.8,4,0.00535933216442844,0.00569355663088027
